date,rate
2020-01-01,61.905700
2020-01-10,61.234000
2020-01-11,61.263200
2020-01-14,60.947400
2020-01-15,61.414000
2020-01-16,61.432800
2020-01-17,61.569400
2020-01-18,61.533300
2020-01-21,61.465400
2020-01-22,61.855200
2020-01-23,61.834300
2020-01-24,61.951500
2020-01-25,61.803100
2020-01-28,62.338000
2020-01-29,62.829900
2020-01-30,62.393400
2020-01-31,63.035900
2020-02-01,63.138500
2020-02-04,63.909100
2020-02-05,63.434200
2020-02-06,63.174200
2020-02-07,62.797700
2020-02-08,63.472000
2020-02-11,63.770800
2020-02-12,63.949000
2020-02-13,63.047000
2020-02-14,63.601600
2020-02-15,63.453600
2020-02-18,63.308500
2020-02-19,63.769800
2020-02-20,63.687300
2020-02-21,63.741300
2020-02-22,64.300800
2020-02-26,64.921300
2020-02-27,65.517700
2020-02-28,65.609700
2020-02-29,66.990900
2020-03-03,66.327400
2020-03-04,66.443700
2020-03-05,66.078400
2020-03-06,66.185400
2020-03-07,67.517500
2020-03-11,72.020800
2020-03-12,71.472000
2020-03-13,74.027400
2020-03-14,73.188200
2020-03-17,74.126200
2020-03-18,73.889600
2020-03-19,77.213100
2020-03-20,80.157000
2020-03-21,78.044300
2020-03-24,80.881500
2020-03-25,78.849300
2020-03-26,77.792800
2020-03-27,78.722300
2020-03-28,77.732500
2020-04-07,76.407400
2020-04-08,75.455000
2020-04-09,75.749900
2020-04-10,74.605000
2020-04-11,73.751500
2020-04-14,73.524500
2020-04-15,73.315000
2020-04-16,73.714500
2020-04-17,74.711900
2020-04-18,73.944100
2020-04-21,74.665700
2020-04-22,76.256200
2020-04-23,77.041600
2020-04-24,75.129000
2020-04-25,74.716300
2020-04-28,74.496000
2020-04-29,74.570600
2020-04-30,73.689400
2020-05-01,72.726300
2020-05-07,73.971900
2020-05-08,74.116900
2020-05-09,73.872500
2020-05-13,73.432600
2020-05-14,73.581900
2020-05-15,73.929800
2020-05-16,73.205600
2020-05-19,72.979800
2020-05-20,72.391800
2020-05-21,72.338100
2020-05-22,70.924000
2020-05-23,71.880400
2020-05-26,71.596200
2020-05-27,71.140800
2020-05-28,71.063500
2020-05-29,71.101200
2020-05-30,70.752000
2020-06-02,69.711400
2020-06-03,68.983100
2020-06-04,68.341300
2020-06-05,69.015100
2020-06-06,68.631900
2020-06-09,68.312300
2020-06-10,68.674500
2020-06-11,68.618300
2020-06-12,69.121900
2020-06-16,70.395000
2020-06-17,69.752400
2020-06-18,69.482200
2020-06-19,69.618000
2020-06-20,69.572500
2020-06-23,69.483500
2020-06-24,68.837600
2020-06-25,68.837600
2020-06-26,69.466000
2020-06-27,69.128400
2020-06-30,69.951300
2020-07-01,70.441300
2020-07-02,70.441300
2020-07-03,70.519800
2020-07-04,70.499900
2020-07-07,71.340900
2020-07-08,72.171900
2020-07-09,71.237900
2020-07-10,70.880000
2020-07-11,71.229800
2020-07-14,70.747900
2020-07-15,71.127500
2020-07-16,70.799800
2020-07-17,71.231000
2020-07-18,71.713900
2020-07-21,71.962800
2020-07-22,70.966800
2020-07-23,70.788100
2020-07-24,70.963000
2020-07-25,71.597400
2020-07-28,71.585000
2020-07-29,71.919600
2020-07-30,72.234800
2020-07-31,73.363300
2020-08-01,73.426100
2020-08-04,74.158600
2020-08-05,73.380600
2020-08-06,73.280600
2020-08-07,73.039700
2020-08-08,73.637600
2020-08-11,73.775000
2020-08-12,73.152200
2020-08-13,73.235100
2020-08-14,73.606700
2020-08-15,73.215700
2020-08-18,72.967600
2020-08-19,73.432100
2020-08-20,73.239200
2020-08-21,73.771100
2020-08-22,74.099900
2020-08-25,74.418400
2020-08-26,74.512600
2020-08-27,75.537900
2020-08-28,75.235400
2020-08-29,74.638200
2020-09-01,73.803900
2020-09-02,73.584900
2020-09-03,73.858800
2020-09-04,75.468000
2020-09-05,75.182300
2020-09-08,75.591000
2020-09-09,75.964500
2020-09-10,76.071300
2020-09-11,75.527400
2020-09-12,74.889600
2020-09-15,74.714800
2020-09-16,75.188400
2020-09-17,74.927800
2020-09-18,75.194100
2020-09-19,75.031900
2020-09-22,76.038100
2020-09-23,76.271100
2020-09-24,76.354500
2020-09-25,77.178000
2020-09-26,76.819500
2020-09-29,78.671300
2020-09-30,79.684500
2020-10-01,78.784700
2020-10-02,77.277400
2020-10-03,78.091500
2020-10-06,78.128100
2020-10-07,78.511900
2020-10-08,78.092100
2020-10-09,77.915700
2020-10-10,77.028400
2020-10-13,77.023900
2020-10-14,77.285500
2020-10-15,77.275900
2020-10-16,77.946100
2020-10-17,77.964400
2020-10-20,77.924100
2020-10-21,77.778000
2020-10-22,77.032200
2020-10-23,77.080900
2020-10-24,76.466700
2020-10-27,76.444300
2020-10-28,76.455600
2020-10-29,77.552000
2020-10-30,78.869900
2020-10-31,79.332300
2020-11-03,80.574900
2020-11-04,80.000600
2020-11-06,78.455900
2020-11-07,77.187500
2020-11-10,76.951500
2020-11-11,76.397800
2020-11-12,76.207500
2020-11-13,77.114800
2020-11-14,77.326200
2020-11-17,76.919700
2020-11-18,76.253000
2020-11-19,75.926800
2020-11-20,76.262700
2020-11-21,76.012000
2020-11-24,75.760000
2020-11-25,75.814600
2020-11-26,75.472700
2020-11-27,75.451800
2020-11-28,75.859900
2020-12-01,76.199900
2020-12-02,76.320300
2020-12-03,75.615100
2020-12-04,75.199600
2020-12-05,74.252900
2020-12-08,74.250600
2020-12-09,73.661800
2020-12-10,73.305700
2020-12-11,73.712400
2020-12-12,73.119500
2020-12-15,72.927200
2020-12-16,73.445300
2020-12-17,73.420100
2020-12-18,72.978100
2020-12-19,73.315500
2020-12-22,74.672100
2020-12-23,75.349800
2020-12-24,75.457100
2020-12-25,74.839200
2020-12-26,73.692100
2020-12-29,73.717500
2020-12-30,73.656700
2020-12-31,73.875700
